Participant-ID,Type,First-Name,Last-Name,Email,Perc_Effort,Attendance,Perc_Academic,CompleteYears,House
32437,Participant,Rhett,Barton,Rhett.Barton@school.edu,94,100,82,9,Vanguard
32540,Participant,Beckett,Powell,Beckett.Powell@school.edu,86,97,96,4,Vanguard
32443,Participant,Rory,Briggs,Rory.Briggs@school.edu,12,74,62,9,Griffin
32514,Participant,Abel,Mendoza,Abel.Mendoza@school.edu,90,100,55,1,Phoenix
32485,Participant,Josiah,Perez,Josiah.Perez@school.edu,31,100,48,2,Falcon
32436,Participant,King,Ingram,King.Ingram@school.edu,67,65,25,2,Vanguard
32553,Participant,Wyatt,Green,Wyatt.Green@school.edu,33,100,40,6,Redwood
32463,Participant,Ricardo,Owens,Ricardo.Owens@school.edu,75,98,42,3,Falcon
32444,Participant,Derek,Barnes,Derek.Barnes@school.edu,68,100,42,9,Phoenix
32428,Participant,Xavier,Bryant,Xavier.Bryant@school.edu,57,68,60,9,Vanguard
32494,Participant,Lincoln,Peterson,Lincoln.Peterson@school.edu,53,54,53,0,Phoenix
32484,Participant,Nathan,Allen,Nathan.Allen@school.edu,56,100,42,2,Astral
32541,Participant,Jordan,Reed,Jordan.Reed@school.edu,40,100,31,10,Phoenix
32445,Participant,Elijah,Moore,Elijah.Moore@school.edu,17,58,22,2,Griffin
32470,Participant,Finn,Perry,Finn.Perry@school.edu,90,100,36,1,Phoenix
32395,Participant,Declan,Patterson,Declan.Patterson@school.edu,87,92,37,2,Astral
32531,Participant,Connor,Young,Connor.Young@school.edu,53,98,50,0,Astral
32440,Participant,Joseph,Thompson,Joseph.Thompson@school.edu,67,85,30,1,Vanguard
32550,Participant,Jackson,Rodriguez,Jackson.Rodriguez@school.edu,53,77,31,0,Vanguard
32511,Participant,Emmanuel,Ford,Emmanuel.Ford@school.edu,53,98,77,0,Falcon
32556,Participant,Peter,Alexander,Peter.Alexander@school.edu,28,100,18,3,Redwood
32549,Participant,Samuel,Harris,Samuel.Harris@school.edu,53,100,69,0,Phoenix
32400,Participant,Roman,Simmons,Roman.Simmons@school.edu,53,58,36,0,Falcon
32505,Participant,Aaron,Edwards,Aaron.Edwards@school.edu,53,99,59,0,Falcon
32417,Participant,Leon,Kirk,Leon.Kirk@school.edu,53,65,49,0,Griffin
32478,Participant,Adam,Rivera,Adam.Rivera@school.edu,94,91,84,2,Falcon
